Listening on COM7 @ 460800...
Press Ctrl+C to stop

[AUDIO] seq=200 | pcg[0]=    -782 pcg[31]=    1875 | total=35 | crc_err=0
[BIO] seq=200 | ir[0]=     258 ecg[0]=  3848 | total=35 | crc_err=0
[AUDIO] seq=201 | pcg[0]=     703 pcg[31]=   -5083 | total=36 | crc_err=0
[BIO] seq=201 | ir[0]=     272 ecg[0]=   968 | total=36 | crc_err=0
[AUDIO] seq=202 | pcg[0]=   -1602 pcg[31]=   -5032 | total=37 | crc_err=0
[BIO] seq=202 | ir[0]=     510 ecg[0]=  1680 | total=37 | crc_err=0
[AUDIO] seq=203 | pcg[0]=    5427 pcg[31]=    3035 | total=38 | crc_err=0
[BIO] seq=203 | ir[0]=     321 ecg[0]=  3912 | total=38 | crc_err=0
[AUDIO] seq=204 | pcg[0]=    1960 pcg[31]=   -1547 | total=39 | crc_err=0
[BIO] seq=204 | ir[0]=     172 ecg[0]=    24 | total=39 | crc_err=0
[AUDIO] seq=205 | pcg[0]=   -6670 pcg[31]=   -3048 | total=40 | crc_err=0
[BIO] seq=205 | ir[0]=     263 ecg[0]=  3912 | total=40 | crc_err=0
[AUDIO] seq=206 | pcg[0]=   -2556 pcg[31]=     492 | total=41 | crc_err=0
[BIO] seq=206 | ir[0]=     311 ecg[0]=   900 | total=41 | crc_err=0
[AUDIO] seq=207 | pcg[0]=   -1449 pcg[31]=     588 | total=42 | crc_err=0
[BIO] seq=207 | ir[0]=     325 ecg[0]=  1812 | total=42 | crc_err=0
[AUDIO] seq=208 | pcg[0]=    4271 pcg[31]=   -4604 | total=43 | crc_err=0
[BIO] seq=208 | ir[0]=     469 ecg[0]=  3912 | total=43 | crc_err=0
[AUDIO] seq=209 | pcg[0]=    1870 pcg[31]=   -1652 | total=44 | crc_err=0
[BIO] seq=209 | ir[0]=     446 ecg[0]=     0 | total=44 | crc_err=0
[AUDIO] seq=210 | pcg[0]=    1169 pcg[31]=    1773 | total=45 | crc_err=0
[BIO] seq=210 | ir[0]=     207 ecg[0]=  3912 | total=45 | crc_err=0
[AUDIO] seq=211 | pcg[0]=   -1968 pcg[31]=    3015 | total=46 | crc_err=0
[BIO] seq=211 | ir[0]=     303 ecg[0]=   800 | total=46 | crc_err=0
[AUDIO] seq=212 | pcg[0]=    -848 pcg[31]=    4813 | total=47 | crc_err=0
[BIO] seq=212 | ir[0]=     336 ecg[0]=  1912 | total=47 | crc_err=0
[AUDIO] seq=213 | pcg[0]=    1625 pcg[31]=   -4247 | total=48 | crc_err=0
[BIO] seq=213 | ir[0]=     453 ecg[0]=  3920 | total=48 | crc_err=0
[AUDIO] seq=214 | pcg[0]=     252 pcg[31]=    1389 | total=49 | crc_err=0
[BIO] seq=214 | ir[0]=     457 ecg[0]=     0 | total=49 | crc_err=0
[AUDIO] seq=215 | pcg[0]=    6261 pcg[31]=    1170 | total=50 | crc_err=0
[BIO] seq=215 | ir[0]=     249 ecg[0]=  3944 | total=50 | crc_err=0
[AUDIO] seq=216 | pcg[0]=    3523 pcg[31]=    -303 | total=51 | crc_err=0
[BIO] seq=216 | ir[0]=     225 ecg[0]=   742 | total=51 | crc_err=0
[AUDIO] seq=217 | pcg[0]=   -7325 pcg[31]=   -3236 | total=52 | crc_err=0
[BIO] seq=217 | ir[0]=     256 ecg[0]=  2008 | total=52 | crc_err=0
[AUDIO] seq=218 | pcg[0]=   -4129 pcg[31]=    2163 | total=53 | crc_err=0
[BIO] seq=218 | ir[0]=     323 ecg[0]=  3924 | total=53 | crc_err=0
[AUDIO] seq=219 | pcg[0]=    4173 pcg[31]=    3505 | total=54 | crc_err=0
[BIO] seq=219 | ir[0]=     291 ecg[0]=     0 | total=54 | crc_err=0
[AUDIO] seq=220 | pcg[0]=    2778 pcg[31]=   -2925 | total=55 | crc_err=0
[BIO] seq=220 | ir[0]=     291 ecg[0]=  3928 | total=55 | crc_err=0
[AUDIO] seq=221 | pcg[0]=   -5000 pcg[31]=    -443 | total=56 | crc_err=0
[BIO] seq=221 | ir[0]=     197 ecg[0]=   706 | total=56 | crc_err=0
[AUDIO] seq=222 | pcg[0]=   -4877 pcg[31]=    4775 | total=57 | crc_err=0
[BIO] seq=222 | ir[0]=     307 ecg[0]=  2104 | total=57 | crc_err=0
[AUDIO] seq=223 | pcg[0]=    5460 pcg[31]=    4212 | total=58 | crc_err=0
[BIO] seq=223 | ir[0]=     302 ecg[0]=  3936 | total=58 | crc_err=0
