ECG,IR,PCG
1140,36391,0
572,36400,0
169,36396,0
0,36395,0
0,36384,0
195,36404,0
582,36396,0
1114,36429,0
1720,36439,0
2370,36413,0
3012,36412,0
3570,36395,0
3984,36441,0
4095,36439,0
4088,36419,0
3960,36421,0
3580,36407,0
3072,36445,0
2368,36436,0
1680,36428,0
981,36425,0
416,36425,0
10,36446,0
0,36428,0
0,36427,0
139,36426,0
526,36444,0
1046,36457,0
1640,36433,0
2312,36444,0
2940,36421,0
3538,36447,0
3880,36454,0
4095,36452,0
4072,36437,0
3904,36453,0
3504,36454,0
2920,36440,0
2248,36434,0
1544,36464,0
880,36453,0
349,36454,0
0,36461,0
0,36452,0
0,36475,0
186,36454,0
604,36452,0
1101,36447,0
1712,36472,0
2353,36488,0
2976,36460,0
3528,36459,0
3976,36451,0
4095,36493,0
4095,36485,0
3920,36470,0
3496,36461,0
2896,36458,0
2200,36498,0
1464,36474,0
800,36482,0
295,36475,0
0,36482,0
0,36507,0
0,36485,0
220,36492,0
629,36476,0
1162,36474,0
1776,36497,0
2444,36477,0
3024,36517,0
3540,36499,0
3920,36495,0
4068,36496,0
4048,36510,0
3804,36531,0
3352,36499,0
2772,36506,0
2072,36490,0
1357,36517,0
705,36515,0
203,36519,0
0,36510,0
0,36528,0
0,36541,0
240,36509,0
669,36508,0
1218,36509,0
1846,36536,0
2501,36551,0
3120,36521,0
3580,36525,0
3932,36502,0
4076,36553,0
4028,36531,0
3792,36527,0
3252,36532,0
2640,36535,0
1968,36519,0
1272,36548,0
659,36533,0
193,36530,0
0,36514,0
0,36560,0
80,36567,0
418,36539,0
922,36539,0
1544,36530,0
2212,36565,0
2908,36570,0
3556,36539,0
4080,36542,0
4095,36540,0
4095,36568,0
4095,36570,0
4080,36559,0
3968,36554,0
3596,36540,0
3157,36567,0
2625,36553,0
2186,36546,0
1848,36557,0
1680,36572,0
1669,36574,0
1838,36562,0
2221,36559,0
2720,36568,0
3912,36595,0
4095,36580,0
4095,36579,0
4095,36568,0
4095,36577,0
4095,36572,0
4095,36569,0
4095,36571,0
4064,36576,0
3784,36591,0
3328,36571,0
2784,36580,0
2240,36563,0
1756,36595,0
1392,36602,0
1192,36570,0
1152,36576,0
1272,36563,0
1529,36601,0
1908,36600,0
2378,36577,0
2858,36577,0
3298,36568,0
3672,36589,0
3864,36584,0
3928,36576,0
3733,36588,0
3340,36591,0
2838,36605,0
2176,36584,0
1500,36578,0
800,36560,0
243,36595,0
0,36577,0
0,36594,0
0,36601,0
22,36591,0
297,36595,0
724,36565,0
1257,36621,0
1868,36603,0
2453,36599,0
3004,36599,0
3463,36579,0
3692,36619,0
3816,36617,0
3616,36595,0
3300,36600,0
2736,36596,0
2112,36627,0
1396,36597,0
732,36604,0
161,36593,0
0,36621,0
0,36629,0
0,36593,0
0,36600,0
296,36606,0
739,36632,0
1268,36633,0
1852,36608,0
2490,36604,0
3009,36583,0
3488,36624,0
3664,36609,0
3728,36604,0
3572,36628,0
3212,36639,0
2672,36615,0
2032,36640,0
1345,36632,0
692,36620,0
156,36626,0
0,36597,0
0,36638,0
0,36626,0
54,36624,0
369,36619,0
816,36628,0
1361,36649,0
1972,36626,0
2568,36628,0
3096,36614,0
3568,36650,0
3818,36658,0
3848,36620,0
3668,36635,0
3274,36614,0
2720,36654,0
2053,36634,0
1358,36622,0
678,36621,0
136,36651,0
0,36653,0
0,36633,0
0,36637,0
87,36624,0
424,36623,0
884,36638,0
1456,36647,0
2060,36628,0
2672,36652,0
3232,36630,0
3588,36631,0
3818,36641,0
3872,36668,0
3644,36639,0
3244,36640,0
2692,36633,0
2032,36661,0
1330,36678,0
688,36642,0
172,36647,0
0,36640,0
0,36667,0
0,36668,0
124,36649,0
498,36660,0
1011,36644,0
1613,36669,0
2248,36651,0
2880,36658,0
3410,36656,0
3760,36682,0
3954,36681,0
3952,36656,0
3729,36661,0
3336,36650,0
2680,36662,0
2016,36667,0
1292,36698,0
650,36662,0
138,36668,0
0,36669,0
0,36654,0
0,36698,0
177,36667,0
576,36669,0
1090,36665,0
1682,36685,0
2316,36694,0
2924,36670,0
3440,36665,0
3808,36657,0
3976,36691,0
3952,36711,0
3704,36665,0
3252,36659,0
2696,36669,0
1984,36700,0
1261,36699,0
600,36675,0
89,36684,0
0,36677,0
0,36704,0
0,36685,0
203,36692,0
621,36687,0
1157,36719,0
1776,36718,0
2376,36703,0
2977,36697,0
3472,36706,0
3832,36675,0
3984,36708,0
3932,36728,0
3680,36701,0
3216,36707,0
2584,36702,0
1889,36729,0
1182,36738,0
560,36711,0
74,36710,0
0,36698,0
0,36741,0
0,36744,0
243,36727,0
668,36726,0
1209,36697,0
1848,36740,0
2484,36724,0
3088,36722,0
3592,36725,0
3928,36746,0
4064,36757,0
3980,36726,0
3688,36746,0
3160,36717,0
2520,36756,0
1830,36755,0
1122,36731,0
486,36742,0
25,36750,0
0,36743,0
0,36720,0
19,36718,0
297,36729,0
730,36728,0
1274,36705,0
1908,36745,0
2520,36735,0
3104,36709,0
3568,36718,0
3928,36710,0
3984,36730,0
3936,36707,0
3568,36705,0
3088,36696,0
2432,36703,0
1724,36714,0
1017,36691,0
423,36688,0
0,36657,0
0,36698,0
0,36683,0
0,36657,0
298,36657,0
760,36644,0
1321,36670,0
1946,36645,0
2572,36644,0
3162,36630,0
3616,36649,0
3968,36649,0
3992,36612,0
3880,36594,0
3552,36598,0
3034,36623,0
2396,36598,0
1686,36592,0
1012,36607,0
443,36573,0
6,36567,0
0,36556,0
0,36583,0
77,36582,0
417,36548,0
896,36548,0
1481,36519,0
2136,36553,0
2748,36554,0
3360,36514,0
3784,36521,0
4095,36499,0
4095,36524,0
4053,36496,0
3696,36482,0
3140,36486,0
2468,36480,0
1738,36487,0
1048,36474,0
465,36461,0
40,36463,0
0,36468,0
0,36464,0
468,36321,0
968,36429,0
1568,36432,0
2212,36406,0
2856,36416,0
3432,36413,0
3856,36417,0
4080,36405,0
4092,36423,0
3960,36423,0
3582,36385,0
3072,36384,0
2376,36371,0
1668,36394,0
986,36400,0
424,36371,0
38,36369,0
0,36345,0
0,36374,0
131,36380,0
521,36342,0
1058,36344,0
1680,36328,0
2338,36366,0
2984,36341,0
3560,36333,0
3984,36336,0
4095,36336,0
4095,36355,0
3954,36329,0
3556,36321,0
3012,36306,0
2292,36321,0
1580,36325,0
904,36318,0
354,36332,0
0,36310,0
0,36310,0
0,36295,0
169,36335,0
554,36318,0
1084,36306,0
1680,36316,0
2320,36290,0
2944,36326,0
3520,36300,0
3876,36304,0
4095,36299,0
4072,36300,0
3888,36323,0
3472,36303,0
2912,36297,0
2232,36292,0
1510,36323,0
819,36323,0
274,36298,0
0,36292,0
0,36280,0
0,36330,0
193,36308,0
596,36303,0
1137,36302,0
1754,36296,0
2416,36321,0
3000,36318,0
3532,36305,0
3904,36315,0
4095,36309,0
4048,36289,0
3820,36326,0
3392,36305,0
2776,36307,0
2088,36303,0
1378,36336,0
734,36340,0
225,36305,0
0,36321,0
0,36300,0
0,36337,0
223,36325,0
631,36322,0
1176,36328,0
1788,36326,0
2436,36344,0
3120,36329,0
3634,36320,0
4004,36330,0
4095,36352,0
4095,36361,0
3872,36336,0
3402,36339,0
2752,36332,0
2048,36353,0
1344,36363,0
681,36345,0
163,36349,0
0,36344,0
0,36351,0
0,36335,0
248,36351,0
678,36366,0
1228,36354,0
1844,36357,0
2496,36383,0
3138,36359,0
3600,36362,0
3952,36346,0
4076,36378,0
4028,36394,0
3760,36363,0
3276,36376,0
2652,36359,0
1945,36388,0
1231,36385,0
609,36381,0
123,36364,0
0,36369,0
0,36399,0
0,36371,0
274,36390,0
730,36368,0
1300,36397,0
1940,36407,0
2576,36389,0
3178,36397,0
3666,36373,0
4000,36417,0
4095,36417,0
4008,36386,0
3704,36399,0
3220,36401,0
2564,36430,0
1820,36397,0
1154,36393,0
542,36424,0
75,36427,0
0,36408,0
0,36408,0
28,36402,0
327,36431,0
782,36435,0
1344,36407,0
1978,36421,0
2624,36403,0
3212,36442,0
3696,36424,0
3992,36424,0
4068,36425,0
4074,36434,0
3744,36455,0
3224,36430,0
2565,36439,0
1841,36427,0
1128,36472,0
512,36471,0
69,36442,0
0,36449,0
0,36427,0
56,36472,0
362,36471,0
851,36442,0
1427,36473,0
2064,36457,0
2704,36479,0
3288,36472,0
3752,36456,0
4024,36464,0
4080,36491,0
3984,36452,0
3642,36463,0
3122,36462,0
2466,36499,0
1760,36501,0
1070,36472,0
482,36481,0
45,36463,0
0,36492,0
0,36500,0
80,36476,0
417,36481,0
898,36468,0
1496,36505,0
2152,36485,0
2816,36487,0
3408,36494,0
3856,36470,0
4095,36508,0
4095,36492,0
3984,36495,0
3656,36497,0
3093,36486,0
2464,36509,0
1712,36515,0
1026,36496,0
451,36501,0
46,36480,0
0,36512,0
0,36470,0
118,36520,0
477,36518,0
1004,36496,0
1562,36499,0
2232,36484,0
2856,36510,0
3416,36502,0
3892,36494,0
4072,36496,0
4095,36499,0
3928,36513,0
3560,36500,0
3004,36494,0
2340,36500,0
1634,36509,0
949,36526,0
369,36499,0
0,36494,0
0,36475,0
0,36526,0
128,36514,0
530,36494,0
1040,36501,0
1667,36485,0
2314,36513,0
2992,36512,0
3488,36494,0
3896,36465,0
4084,36493,0
4080,36517,0
3896,36498,0
3504,36495,0
2928,36481,0
2252,36524,0
1538,36522,0
862,36494,0
324,36492,0
0,36485,0
0,36505,0
0,36503,0
180,36499,0
569,36499,0
1104,36477,0
1712,36518,0
2352,36508,0
2986,36497,0
3600,36495,0
4008,36490,0
4095,36520,0
4095,36508,0
3968,36492,0
3524,36498,0
2928,36496,0
2216,36525,0
1492,36486,0
827,36504,0
291,36484,0
0,36519,0
0,36500,0
0,36498,0
206,36493,0
614,36495,0
1162,36499,0
1784,36504,0
2428,36498,0
3064,36526,0
3583,36498,0
3964,36499,0
4094,36490,0
4068,36511,0
3839,36528,0
3400,36501,0
2808,36504,0
2116,36488,0
1404,36523,0
756,36517,0
250,36492,0
0,36510,0
0,36485,0
0,36521,0
251,36510,0
693,36498,0
1250,36501,0
1900,36502,0
2560,36521,0
3156,36504,0
3700,36505,0
4040,36502,0
4095,36507,0
3824,36523,0
3376,36490,0
2768,36484,0
2084,36506,0
1392,36485,0
736,36521,0
238,36505,0
0,36503,0
0,36503,0
12,36530,0
296,36539,0
736,36506,0
1300,36511,0
1929,36500,0
2596,36529,0
3184,36541,0
3696,36515,0
4032,36510,0
4092,36489,0
4095,36527,0
3864,36526,0
3392,36511,0
2760,36510,0
2058,36502,0
1340,36528,0
726,36512,0
257,36505,0
0,36500,0
0,36531,0
94,36537,0
422,36522,0
904,36516,0
1524,36523,0
2156,36512,0
2816,36510,0
3424,36500,0
3912,36512,0
4084,36515,0
4095,36518,0
4064,36524,0
3812,36544,0
3332,36520,0
2712,36521,0
2028,36520,0
1324,36539,0
720,36554,0
257,36531,0
0,36532,0
0,36520,0
72,36566,0
382,36558,0
858,36534,0
1464,36540,0
2112,36523,0
2772,36569,0
3376,36537,0
3864,36533,0
4095,36536,0
4095,36547,0
4048,36564,0
3733,36537,0
3228,36540,0
2584,36539,0
1892,36569,0
1172,36555,0
586,36526,0
132,36556,0
0,36563,0
0,36566,0
96,36553,0
425,36539,0
918,36572,0
1508,36569,0
2152,36560,0
2808,36562,0
3384,36564,0
3840,36586,0
4084,36578,0
4092,36574,0
4000,36577,0
3672,36576,0
3154,36599,0
2512,36565,0
1832,36577,0
1144,36566,0
545,36605,0
129,36604,0
0,36574,0
0,36579,0
112,36569,0
480,36609,0
1006,36603,0
1592,36590,0
2260,36593,0
2904,36582,0
3504,36616,0
3872,36609,0
4095,36598,0
4095,36620,0
3976,36607,0
3616,36609,0
3076,36633,0
2420,36609,0
1706,36612,0
1034,36599,0
491,36639,0
64,36639,0
0,36613,0
0,36621,0
149,36595,0
532,36648,0
1050,36639,0
1658,36622,0
2304,36628,0
2940,36615,0
3492,36645,0
4000,36639,0
4095,36632,0
4095,36644,0
4024,36659,0
3632,36665,0
3056,36632,0
2360,36642,0
1620,36639,0
925,36666,0
374,36666,0
0,36648,0
0,36645,0
0,36667,0
189,36654,0
608,36639,0
1128,36658,0
1802,36678,0
2472,36673,0
3152,36650,0
3736,36660,0
4095,36651,0
4095,36682,0
4095,36691,0
4068,36664,0
3832,36672,0
3416,36665,0
2884,36686,0
2308,36700,0
1776,36673,0
1361,36681,0
1120,36662,0
1056,36704,0
