ECG,RED,IR,PCG
2288,108637,75336,0
2280,108616,75436,0
2272,108690,75381,0
2280,108638,75400,0
2266,108676,75382,0
2272,108642,75362,0
2272,108578,75393,0
2272,108694,75372,0
2224,108615,75387,0
2232,108615,75387,0
2228,108615,75413,0
2220,108645,75345,0
2212,108645,75345,0
2224,108645,75345,0
2229,108645,75345,0
2228,108645,75345,0
2232,108645,75345,0
2270,108645,75419,0
2236,108641,75440,0
2234,108641,75440,0
2256,108641,75440,0
2228,108641,75440,0
2248,108641,75440,0
2248,108641,75440,0
2258,108641,75440,0
2264,108667,75375,0
2268,108667,75375,0
2268,108667,75375,0
2280,108667,75375,0
2282,108667,75375,0
2313,108667,75375,0
2320,108667,75375,0
2300,108657,75420,0
2352,108657,75420,0
2301,108657,75420,0
2445,108657,75420,0
2312,108657,75420,0
2310,108657,75420,0
2308,108657,75420,0
2289,108657,75396,0
2302,108640,75439,0
2305,108622,75442,0
2264,108699,75412,0
2284,108648,75440,0
2244,108654,75424,0
2268,108640,75411,0
2264,108610,75407,0
2272,108658,75414,0
2274,108660,75471,0
2280,108697,75412,0
2288,108643,75443,0
2288,108633,75417,0
2284,108645,75383,0
2292,108634,75461,0
2288,108682,75433,0
2296,108639,75435,0
2280,108702,75425,0
2280,108646,75366,0
2289,108638,75463,0
2284,108683,75413,0
2272,108643,75446,0
2276,108673,75439,0
2268,108640,75378,0
2296,108610,75444,0
2276,108704,75425,0
2288,108648,75435,0
2288,108675,75412,0
2284,108650,75403,0
2272,108601,75440,0
2304,108689,75425,0
2308,108660,75463,0
2298,108657,75442,0
2302,108598,75442,0
2305,108679,75416,0
2288,108640,75469,0
2240,108642,75451,0
2272,108671,75420,0
2252,108659,75491,0
2288,108691,75440,0
2296,108643,75480,0
2304,108657,75447,0
2296,108644,75414,0
2304,108639,75472,0
2294,108680,75462,0
2296,108658,75482,0
2292,108656,75434,0
2264,108648,75407,0
2282,108637,75484,0
2296,108684,75442,0
2284,108644,75472,0
2297,108678,75430,0
2304,108637,75396,0
2308,108594,75460,0
2332,108696,75451,0
2312,108642,75466,0
2312,108693,75455,0
2313,108634,75457,0
2308,108601,75444,0
2316,108667,75433,0
2256,108661,75433,0
2240,108661,75433,0
2240,108661,75433,0
2116,108661,75433,0
2248,108661,75433,0
2200,108661,75452,0
2232,108631,75439,0
2224,108631,75439,0
2232,108631,75439,0
2224,108631,75439,0
2240,108631,75439,0
2252,108631,75439,0
2252,108631,75439,0
2242,108651,75465,0
2244,108651,75465,0
2232,108651,75465,0
2228,108651,75465,0
2236,108651,75465,0
2240,108651,75465,0
2248,108651,75465,0
2250,108642,75451,0
2250,108642,75451,0
2282,108642,75451,0
2280,108642,75451,0
2280,108642,75451,0
2324,108642,75451,0
2269,108642,75451,0
2412,108642,75461,0
2288,108632,75402,0
2282,108632,75402,0
2297,108632,75402,0
2284,108632,75402,0
2248,108645,75451,0
2290,108655,75446,0
2260,108637,75472,0
2304,108604,75452,0
2284,108630,75424,0
2289,108627,75509,0
2293,108660,75451,0
2300,108633,75480,0
2296,108660,75456,0
2292,108612,75451,0
2304,108576,75469,0
2292,108673,75456,0
2304,108644,75524,0
2289,108661,75462,0
2306,108624,75477,0
2285,108603,75461,0
2292,108657,75444,0
2273,108633,75508,0
2266,108661,75462,0
2260,108633,75503,0
2264,108654,75468,0
2266,108624,75416,0
2256,108614,75516,0
2258,108677,75473,0
2248,108637,75500,0
2228,108664,75477,0
2192,108633,75460,0
2218,108584,75465,0
2216,108611,75493,0
2212,108611,75493,0
2217,108611,75493,0
2226,108611,75493,0
2224,108611,75493,0
2210,108611,75493,0
2228,108611,75493,0
2228,108645,75474,0
2236,108645,75474,0
2264,108645,75474,0
2237,108645,75474,0
2256,108645,75474,0
2240,108645,75474,0
2248,108645,75474,0
2242,108595,75468,0
2238,108595,75468,0
2248,108595,75468,0
2248,108595,75468,0
2216,108595,75468,0
2218,108595,75468,0
2242,108595,75468,0
2232,108595,75512,0
2271,108675,75507,0
2249,108675,75507,0
2251,108675,75507,0
2252,108675,75507,0
2256,108675,75507,0
2296,108675,75507,0
2297,108675,75523,0
2300,108675,75461,0
2326,108675,75461,0
2290,108654,75491,0
2416,108662,75515,0
2432,108661,75561,0
2376,108702,75543,0
2328,108667,75553,0
2272,108684,75525,0
2240,108660,75481,0
2240,108655,75579,0
2178,108712,75546,0
2156,108657,75574,0
2124,108685,75528,0
2112,108638,75489,0
2088,108602,75561,0
2073,108709,75527,0
2056,108653,75561,0
2034,108663,75546,0
2020,108658,75554,0
2008,108612,75542,0
2000,108682,75526,0
1988,108647,75567,0
1976,108695,75542,0
1972,108630,75568,0
1964,108676,75545,0
1978,108662,75495,0
1960,108641,75584,0
1944,108690,75557,0
1912,108639,75584,0
1970,108670,75555,0
1962,108670,75555,0
1989,108670,75555,0
1973,108657,75579,0
1978,108657,75579,0
1978,108657,75579,0
2032,108657,75579,0
