ECG,IR,PCG
2472,38589,0
2450,38589,0
2436,38598,0
2421,38590,0
2388,38580,0
2376,38624,0
2368,38596,0
2352,38576,0
2356,38597,0
2368,38572,0
2372,38600,0
2384,38609,0
2404,38585,0
2418,38574,0
2440,38605,0
2450,38624,0
2456,38584,0
2476,38575,0
2464,38609,0
2458,38603,0
2464,38586,0
2448,38605,0
2432,38585,0
2425,38582,0
2416,38632,0
2400,38603,0
2388,38594,0
2393,38587,0
2384,38616,0
2388,38606,0
2398,38577,0
2393,38621,0
2416,38592,0
2420,38622,0
2436,38629,0
2442,38592,0
2436,38604,0
2436,38595,0
2424,38617,0
2416,38618,0
2404,38621,0
2386,38603,0
2376,38585,0
2368,38643,0
2356,38605,0
2356,38610,0
2348,38625,0
2336,38601,0
2340,38622,0
2352,38624,0
2370,38608,0
2380,38600,0
2410,38620,0
2416,38643,0
2440,38608,0
2448,38591,0
2448,38621,0
2452,38617,0
2460,38602,0
2448,38641,0
2440,38609,0
2426,38608,0
2424,38651,0
2398,38626,0
2384,38631,0
2368,38614,0
2368,38619,0
2360,38624,0
2360,38603,0
2360,38613,0
2376,38617,0
2376,38659,0
2384,38633,0
2396,38620,0
2420,38618,0
2424,38636,0
2448,38635,0
2448,38612,0
2448,38646,0
2440,38625,0
2433,38620,0
2424,38656,0
2412,38626,0
2400,38619,0
2392,38627,0
2376,38652,0
2368,38629,0
2362,38615,0
2372,38637,0
2362,38608,0
2378,38625,0
2378,38648,0
2400,38627,0
2410,38617,0
2416,38648,0
2428,38634,0
2436,38611,0
2416,38615,0
2416,38610,0
2394,38612,0
2368,38641,0
2354,38630,0
2344,38605,0
2320,38637,0
2312,38633,0
2304,38624,0
2288,38638,0
2292,38615,0
2304,38614,0
2312,38655,0
2320,38633,0
2348,38611,0
2354,38613,0
2376,38648,0
2384,38627,0
2400,38609,0
2410,38638,0
2416,38602,0
2417,38628,0
2408,38655,0
2400,38623,0
2389,38620,0
2380,38633,0
2356,38642,0
2354,38625,0
2336,38623,0
2336,38632,0
2330,38623,0
2328,38629,0
2336,38622,0
2344,38638,0
2368,38613,0
2376,38625,0
2380,38636,0
2405,38628,0
2408,38634,0
2322,38600,0
2424,38617,0
2416,38658,0
2408,38619,0
2392,38610,0
2392,38632,0
2370,38629,0
2368,38627,0
2344,38640,0
2336,38612,0
2336,38619,0
2332,38646,0
2336,38646,0
2340,38618,0
2352,38604,0
2369,38646,0
2370,38630,0
2386,38619,0
2401,38635,0
2405,38610,0
2409,38642,0
2416,38648,0
2408,38626,0
2404,38624,0
2388,38610,0
2372,38642,0
2340,38620,0
2336,38617,0
2320,38623,0
2312,38615,0
2296,38633,0
2288,38647,0
2296,38613,0
2308,38581,0
2320,38649,0
2340,38633,0
2352,38610,0
2368,38649,0
2400,38613,0
2408,38631,0
2408,38653,0
2424,38627,0
2432,38630,0
2416,38617,0
2412,38658,0
2401,38615,0
2394,38603,0
2378,38635,0
2376,38619,0
2354,38633,0
2348,38640,0
2345,38639,0
2352,38619,0
2364,38629,0
2358,38661,0
2366,38627,0
2388,38634,0
2396,38620,0
2404,38637,0
2409,38628,0
2396,38625,0
2392,38617,0
2384,38639,0
2368,38631,0
2360,38615,0
2344,38645,0
2336,38616,0
2314,38637,0
2296,38657,0
2296,38641,0
2292,38628,0
2300,38604,0
2314,38657,0
2320,38638,0
2344,38611,0
2354,38640,0
2368,38605,0
2392,38637,0
2404,38639,0
2404,38617,0
2412,38617,0
2416,38649,0
2416,38647,0
2408,38624,0
2400,38620,0
2384,38634,0
2364,38638,0
2344,38638,0
2336,38633,0
2320,38624,0
2320,38628,0
2328,38648,0
2340,38627,0
2336,38629,0
2352,38637,0
2368,38635,0
2380,38648,0
2386,38616,0
2400,38656,0
2400,38621,0
2408,38621,0
2392,38661,0
2386,38626,0
2376,38628,0
2376,38642,0
2368,38637,0
2346,38638,0
2336,38653,0
2328,38654,0
2328,38627,0
2320,38634,0
2321,38662,0
2330,38622,0
2345,38606,0
2352,38654,0
2368,38648,0
2384,38633,0
2400,38651,0
2389,38614,0
2392,38649,0
2384,38653,0
2372,38661,0
2352,38653,0
2328,38647,0
2312,38634,0
2288,38671,0
2272,38624,0
2252,38625,0
2244,38648,0
2240,38649,0
2240,38633,0
2248,38634,0
2264,38661,0
2272,38634,0
2288,38628,0
2314,38669,0
2338,38634,0
2344,38625,0
2360,38665,0
2368,38640,0
2376,38637,0
2384,38667,0
2372,38636,0
2372,38646,0
2348,38643,0
2340,38672,0
2324,38629,0
2314,38620,0
2304,38675,0
2302,38656,0
2300,38639,0
2304,38649,0
2306,38651,0
2324,38662,0
2338,38647,0
2352,38634,0
2360,38664,0
2372,38649,0
2380,38651,0
2384,38667,0
2372,38635,0
2368,38636,0
2368,38680,0
2344,38668,0
2336,38643,0
2320,38630,0
2304,38667,0
2296,38656,0
2296,38646,0
2292,38670,0
2288,38630,0
2289,38654,0
2304,38684,0
2313,38654,0
2326,38637,0
2330,38645,0
2348,38675,0
2356,38656,0
2368,38629,0
2368,38666,0
2356,38641,0
2352,38666,0
2338,38674,0
2338,38635,0
2304,38652,0
2304,38666,0
2282,38667,0
2265,38674,0
2252,38660,0
2260,38659,0
2249,38655,0
2260,38651,0
2276,38683,0
2292,38647,0
2320,38640,0
2344,38681,0
2368,38650,0
2400,38657,0
2424,38669,0
2464,38660,0
2472,38666,0
2516,38645,0
2532,38681,0
2564,38647,0
2596,38650,0
2624,38687,0
2658,38653,0
2692,38649,0
2728,38668,0
2776,38662,0
2824,38664,0
2856,38672,0
2920,38669,0
2960,38642,0
3004,38660,0
3040,38679,0
3064,38668,0
3088,38659,0
3080,38674,0
3040,38658,0
2992,38667,0
2948,38654,0
2880,38632,0
2820,38689,0
2744,38665,0
2668,38659,0
2608,38675,0
2532,38648,0
2468,38673,0
2412,38688,0
2352,38682,0
2312,38667,0
2264,38647,0
2232,38708,0
2208,38660,0
2196,38650,0
2180,38677,0
2168,38665,0
2160,38673,0
2152,38690,0
2144,38669,0
2129,38656,0
2116,38668,0
2097,38703,0
2085,38664,0
2064,38647,0
2050,38683,0
2042,38697,0
2034,38684,0
2032,38690,0
2048,38686,0
2056,38663,0
2080,38694,0
2096,38671,0
2104,38669,0
2128,38690,0
2144,38666,0
2152,38656,0
2164,38686,0
2168,38662,0
2176,38662,0
2168,38702,0
2176,38681,0
2152,38675,0
2160,38682,0
2148,38688,0
2144,38681,0
2144,38655,0
2148,38693,0
2144,38659,0
2160,38668,0
2180,38711,0
2196,38671,0
2208,38677,0
2224,38690,0
2240,38693,0
2256,38679,0
2276,38657,0
2280,38696,0
2276,38663,0
