ECG,IR,PCG
2564,39891,0
2528,39901,0
2480,39909,0
2424,39915,0
2384,39891,0
2340,39892,0
2296,39933,0
2256,39902,0
2232,39901,0
2194,39915,0
2176,39892,0
2144,39913,0
2128,39922,0
2106,39896,0
2084,39874,0
2065,39912,0
2052,39903,0
2040,39891,0
2040,39921,0
2026,39896,0
2026,39913,0
2037,39928,0
2036,39902,0
2036,39927,0
2060,39884,0
2060,39912,0
2066,39925,0
2076,39898,0
2084,39904,0
2092,39919,0
2120,39917,0
2124,39913,0
2136,39904,0
2148,39915,0
2152,39905,0
2160,39925,0
2152,39910,0
2164,39894,0
2156,39914,0
2152,39912,0
2164,39906,0
2160,39929,0
2144,39896,0
2132,39885,0
2130,39940,0
2128,39903,0
2128,39886,0
2128,39932,0
2120,39889,0
2136,39904,0
2130,39922,0
2136,39906,0
2148,39927,0
2164,39910,0
2168,39917,0
2176,39931,0
2192,39898,0
2200,39889,0
2212,39936,0
2224,39920,0
2228,39934,0
2234,39898,0
2248,39905,0
2248,39935,0
2252,39917,0
2248,39930,0
2248,39896,0
2240,39896,0
2240,39945,0
2240,39912,0
2228,39882,0
2228,39922,0
2220,39910,0
2232,39897,0
2218,39930,0
2224,39903,0
2216,39906,0
2212,39948,0
2216,39915,0
2208,39925,0
2200,39918,0
2200,39903,0
2196,39949,0
2200,39913,0
2210,39914,0
2216,39924,0
2220,39910,0
2224,39923,0
2230,39923,0
2245,39901,0
2240,39906,0
2260,39922,0
2264,39930,0
2276,39918,0
2288,39915,0
2290,39906,0
2296,39927,0
2296,39940,0
2288,39908,0
2292,39910,0
2272,39941,0
2256,39922,0
2244,39904,0
2228,39934,0
2208,39906,0
2208,39912,0
2180,39964,0
2169,39923,0
2160,39902,0
2152,39936,0
2144,39935,0
2128,39950,0
2132,39921,0
2124,39915,0
2128,39928,0
2136,39928,0
2132,39933,0
2140,39931,0
2148,39904,0
2168,39904,0
2172,39953,0
2192,39918,0
2188,39905,0
2202,39900,0
2212,39936,0
2234,39918,0
2233,39923,0
2248,39927,0
2264,39892,0
2278,39962,0
2274,39918,0
2288,39910,0
2280,39935,0
2284,39924,0
2292,39954,0
2292,39929,0
2280,39931,0
2264,39943,0
2256,39926,0
2240,39943,0
2234,39941,0
2240,39918,0
2228,39913,0
2208,39959,0
2208,39933,0
2192,39922,0
2184,39943,0
2184,39910,0
2196,39927,0
2196,39948,0
2196,39914,0
2212,39903,0
2228,39954,0
2236,39939,0
2240,39936,0
2264,39927,0
2264,39918,0
2280,39950,0
2285,39938,0
2292,39951,0
2292,39924,0
2300,39917,0
2296,39970,0
2280,39940,0
2272,39940,0
2276,39914,0
2264,39924,0
2264,39963,0
2240,39931,0
2228,39924,0
2226,39944,0
2216,39930,0
2212,39922,0
2200,39942,0
2196,39923,0
2192,39900,0
2192,39968,0
2186,39935,0
2192,39935,0
2194,39945,0
2198,39907,0
2212,39960,0
2208,39935,0
2216,39927,0
2240,39940,0
2266,39931,0
2264,39944,0
2290,39912,0
2296,39935,0
2308,39933,0
2313,39909,0
2324,39969,0
2332,39933,0
2340,39936,0
2346,39938,0
2336,39947,0
2328,39967,0
2328,39938,0
2308,39936,0
2308,39953,0
2282,39945,0
2274,39939,0
2260,39945,0
2260,39917,0
2248,39935,0
2232,39965,0
2224,39932,0
2208,39908,0
2208,39946,0
2201,39939,0
2196,39927,0
2208,39960,0
2212,39927,0
2226,39921,0
2232,39963,0
2244,39926,0
2252,39946,0
2268,39925,0
2284,39911,0
2288,39940,0
2308,39932,0
2320,39935,0
2320,39921,0
2320,39923,0
2320,39917,0
2320,39946,0
2236,39922,0
2336,39901,0
2320,39967,0
2328,39936,0
2324,39924,0
2324,39933,0
2312,39908,0
2302,39956,0
2300,39922,0
2288,39915,0
2272,39935,0
2272,39914,0
2250,39929,0
2250,39946,0
2240,39912,0
2240,39899,0
2228,39950,0
2240,39926,0
2248,39907,0
2244,39935,0
2260,39908,0
2272,39943,0
2272,39936,0
2280,39904,0
2304,39911,0
2304,39903,0
2316,39929,0
2340,39896,0
2340,39908,0
2348,39922,0
2354,39914,0
2348,39938,0
2340,39919,0
2328,39909,0
2320,39928,0
2316,39922,0
2296,39912,0
2284,39925,0
2280,39893,0
2256,39889,0
2244,39941,0
2248,39909,0
2224,39887,0
2224,39918,0
2216,39902,0
2220,39904,0
2212,39921,0
2208,39893,0
2216,39895,0
2216,39930,0
2224,39904,0
2240,39919,0
2232,39900,0
2240,39885,0
2248,39933,0
2268,39896,0
2264,39925,0
2272,39903,0
2296,39891,0
2304,39905,0
2296,39896,0
2298,39917,0
2296,39878,0
2312,39881,0
2296,39926,0
2292,39887,0
2296,39874,0
2288,39914,0
2272,39914,0
2272,39877,0
2256,39908,0
2240,39886,0
2240,39862,0
2232,39929,0
2226,39889,0
2200,39885,0
2184,39900,0
2188,39887,0
2176,39916,0
2168,39902,0
2164,39889,0
2168,39899,0
2168,39892,0
2176,39901,0
2186,39907,0
2194,39886,0
2208,39880,0
2216,39921,0
2226,39890,0
2232,39899,0
2256,39914,0
2264,39878,0
2260,39911,0
2272,39866,0
2276,39905,0
2268,39872,0
2258,39865,0
2256,39919,0
2244,39884,0
2236,39875,0
2216,39900,0
2216,39900,0
2208,39905,0
2194,39903,0
2184,39873,0
2188,39884,0
2176,39901,0
2172,39895,0
2168,39911,0
2160,39884,0
2156,39886,0
2148,39926,0
2144,39889,0
2144,39886,0
2152,39901,0
2154,39883,0
2164,39883,0
2172,39911,0
2184,39882,0
2186,39863,0
2196,39924,0
2208,39900,0
2226,39891,0
2232,39891,0
2248,39904,0
2256,39893,0
2256,39882,0
2264,39910,0
2264,39885,0
2256,39892,0
2264,39923,0
2244,39895,0
2240,39898,0
2232,39892,0
2220,39890,0
2208,39928,0
2208,39886,0
2196,39885,0
2192,39897,0
2172,39897,0
2176,39887,0
2176,39903,0
2176,39877,0
2176,39881,0
2184,39925,0
2196,39889,0
2200,39866,0
2208,39906,0
2216,39885,0
2226,39879,0
2232,39917,0
2224,39880,0
2250,39892,0
2244,39912,0
2260,39901,0
2260,39882,0
2256,39904,0
2272,39890,0
2276,39916,0
2280,39917,0
2288,39893,0
2296,39888,0
2288,39912,0
2292,39893,0
2288,39892,0
2292,39909,0
2284,39862,0
2280,39895,0
2272,39927,0
2268,39880,0
2256,39866,0
2256,39892,0
2240,39898,0
2232,39876,0
2228,39910,0
2220,39889,0
2224,39869,0
2224,39927,0
2226,39894,0
2232,39888,0
2240,39898,0
2248,39876,0
2258,39906,0
2264,39892,0
2284,39899,0
2288,39876,0
2300,39901,0
2308,39913,0
2304,39894,0
2300,39863,0
2296,39902,0
2288,39901,0
2284,39885,0
2272,39909,0
2272,39881,0
2256,39876,0
2256,39927,0
2240,39887,0
2232,39895,0
2224,39889,0
2240,39879,0
2216,39913,0
2212,39882,0
2208,39877,0
2224,39898,0
2224,39895,0
2220,39886,0
2218,39905,0
2224,39864,0
2224,39852,0
2240,39924,0
2240,39890,0
2244,39876,0
2260,39909,0
2256,39880,0
2256,39919,0
2272,39896,0
2272,39890,0
2280,39884,0
2288,39901,0
2288,39935,0
2288,39886,0
2296,39864,0
2280,39900,0
2280,39904,0
2272,39896,0
2272,39903,0
2257,39878,0
2248,39909,0
2226,39917,0
2232,39897,0
