ECG,IR,PCG
2170,38851,0
2224,38836,0
2188,38836,0
2208,38853,0
2168,38833,0
2184,38830,0
2144,38858,0
2136,38820,0
2104,38832,0
2136,38864,0
2120,38845,0
2114,38836,0
2121,38853,0
2128,38873,0
2108,38857,0
2132,38846,0
2122,38866,0
2132,38837,0
2184,38838,0
2200,38856,0
2160,38862,0
2172,38843,0
2164,38855,0
2196,38835,0
2144,38830,0
2124,38852,0
2104,38833,0
2074,38830,0
2080,38852,0
2022,38819,0
2004,38822,0
1996,38840,0
2008,38808,0
2026,38828,0
1972,38839,0
1996,38834,0
1986,38821,0
2048,38810,0
2036,38835,0
2052,38808,0
2056,38806,0
2140,38812,0
2128,38795,0
2146,38803,0
2177,38828,0
2190,38805,0
2192,38810,0
2240,38802,0
2220,38827,0
2249,38803,0
2292,38798,0
2338,38817,0
2360,38796,0
2436,38799,0
2516,38805,0
2624,38799,0
2760,38804,0
2872,38808,0
3000,38820,0
3164,38798,0
3256,38805,0
3388,38829,0
3512,38826,0
3648,38795,0
3728,38819,0
3896,38820,0
3904,38804,0
4040,38795,0
4004,38831,0
4095,38798,0
4020,38801,0
4000,38827,0
3968,38796,0
4000,38808,0
3928,38822,0
3860,38825,0
3780,38809,0
3716,38821,0
3633,38827,0
3532,38798,0
3496,38798,0
3404,38824,0
3352,38781,0
3274,38801,0
3156,38813,0
3070,38806,0
3044,38813,0
2960,38817,0
2916,38821,0
2872,38828,0
2880,38796,0
2824,38802,0
2796,38847,0
2776,38827,0
2776,38832,0
2737,38825,0
2704,38839,0
2720,38819,0
2658,38817,0
2656,38848,0
2604,38808,0
2600,38814,0
2572,38845,0
2546,38812,0
2512,38823,0
2512,38827,0
2469,38809,0
2424,38813,0
2392,38842,0
2362,38834,0
2304,38817,0
2288,38808,0
2246,38825,0
2232,38802,0
2240,38829,0
2232,38840,0
2208,38838,0
2188,38833,0
2184,38816,0
2196,38817,0
2216,38830,0
2172,38826,0
2160,38822,0
2146,38837,0
2138,38840,0
2112,38821,0
2092,38822,0
2075,38838,0
2072,38807,0
2028,38835,0
1986,38839,0
2018,38820,0
1946,38841,0
1984,38855,0
1936,38852,0
1928,38841,0
1918,38838,0
1960,38855,0
1962,38835,0
1976,38836,0
1976,38860,0
2011,38825,0
1446,38839,0
1992,38862,0
2001,38856,0
1990,38847,0
2024,38865,0
2030,38864,0
1976,38857,0
1944,38875,0
1940,38862,0
1932,38879,0
1924,38843,0
1932,38840,0
1912,38863,0
1909,38858,0
1904,38837,0
1917,38844,0
1924,38867,0
1930,38834,0
1932,38836,0
1961,38861,0
1936,38823,0
1957,38837,0
1964,38858,0
1953,38832,0
1916,38845,0
1900,38856,0
1889,38856,0
1920,38834,0
1881,38844,0
1868,38856,0
1889,38839,0
1872,38832,0
1844,38851,0
1884,38822,0
1874,38817,0
1892,38840,0
1962,38806,0
1922,38804,0
1956,38825,0
1940,38814,0
1938,38815,0
1952,38809,0
1920,38826,0
1908,38786,0
1888,38810,0
1880,38830,0
1868,38824,0
1856,38821,0
1860,38823,0
1874,38835,0
1872,38804,0
1857,38808,0
1890,38821,0
1880,38779,0
1896,38788,0
1897,38806,0
1912,38777,0
1952,38794,0
1966,38803,0
1989,38800,0
1960,38797,0
1958,38796,0
1969,38814,0
1944,38789,0
1901,38775,0
1904,38807,0
1882,38779,0
1896,38786,0
1928,38799,0
1857,38804,0
1856,38775,0
1900,38799,0
1888,38789,0
1892,38790,0
1904,38782,0
1952,38784,0
1944,38801,0
1960,38779,0
1970,38772,0
1988,38791,0
2005,38767,0
1976,38785,0
2000,38804,0
1970,38778,0
1960,38768,0
1954,38801,0
1956,38784,0
1914,38770,0
1906,38778,0
1904,38785,0
1932,38763,0
1952,38751,0
1969,38773,0
1984,38741,0
1996,38748,0
1988,38765,0
2018,38722,0
2036,38723,0
2024,38755,0
2048,38747,0
2064,38737,0
2008,38720,0
2014,38734,0
2008,38727,0
1972,38715,0
1988,38719,0
1952,38727,0
1938,38709,0
1956,38708,0
1932,38718,0
1962,38719,0
1980,38699,0
1994,38679,0
2000,38691,0
2008,38684,0
2018,38667,0
2020,38679,0
2041,38661,0
2036,38663,0
2034,38670,0
2033,38639,0
2044,38653,0
2057,38667,0
2042,38661,0
2008,38647,0
2005,38657,0
1994,38655,0
1956,38629,0
1963,38634,0
1992,38644,0
1958,38609,0
1984,38614,0
2008,38639,0
2008,38602,0
2016,38625,0
2016,38616,0
1984,38622,0
2024,38610,0
2040,38614,0
2032,38591,0
2042,38597,0
2036,38623,0
2052,38601,0
2008,38601,0
2012,38621,0
2000,38621,0
2008,38595,0
1996,38596,0
1996,38620,0
1976,38600,0
1984,38594,0
1976,38623,0
1968,38591,0
2004,38595,0
2032,38617,0
2080,38621,0
2084,38600,0
2056,38599,0
2074,38618,0
2052,38608,0
2037,38593,0
2064,38612,0
2020,38580,0
2028,38603,0
2016,38632,0
1958,38611,0
1946,38628,0
1936,38599,0
1948,38615,0
1936,38605,0
1936,38626,0
1944,38624,0
1980,38613,0
1976,38607,0
1984,38625,0
2008,38607,0
2021,38600,0
2044,38627,0
2048,38583,0
2028,38599,0
2047,38617,0
2024,38616,0
2032,38604,0
2010,38624,0
2000,38615,0
1964,38612,0
2000,38600,0
1964,38622,0
1972,38614,0
1956,38606,0
1928,38629,0
1910,38604,0
1923,38613,0
1968,38626,0
1990,38598,0
2016,38612,0
2012,38625,0
2064,38610,0
2016,38618,0
2008,38617,0
2053,38629,0
2008,38644,0
1996,38636,0
1994,38629,0
1985,38617,0
1956,38641,0
1954,38646,0
1940,38618,0
1940,38622,0
1920,38648,0
1938,38618,0
1936,38623,0
1976,38641,0
1985,38604,0
2008,38623,0
2000,38638,0
2004,38623,0
2032,38628,0
2064,38650,0
2058,38633,0
2056,38628,0
2036,38619,0
2026,38647,0
1993,38622,0
1974,38620,0
1956,38641,0
1947,38609,0
1972,38625,0
1978,38662,0
1929,38635,0
1936,38631,0
1960,38634,0
1976,38648,0
2008,38655,0
2016,38646,0
2028,38663,0
2041,38670,0
2040,38654,0
2047,38640,0
2047,38658,0
2071,38630,0
2056,38646,0
2064,38653,0
2020,38633,0
2009,38637,0
1980,38660,0
2000,38621,0
1984,38638,0
1984,38655,0
1976,38627,0
2010,38628,0
2000,38660,0
2017,38653,0
2028,38625,0
2076,38626,0
2076,38648,0
2069,38616,0
2068,38619,0
2100,38638,0
2090,38600,0
2089,38610,0
2044,38621,0
2046,38608,0
2012,38609,0
1994,38605,0
2008,38633,0
1970,38598,0
1964,38593,0
1964,38605,0
1962,38579,0
1960,38584,0
2000,38599,0
2002,38582,0
2002,38585,0
2064,38601,0
2052,38611,0
2104,38577,0
2100,38591,0
2160,38598,0
2116,38582,0
2140,38581,0
2100,38590,0
2130,38565,0
2106,38571,0
2116,38590,0
2074,38552,0
2080,38574,0
2020,38594,0
2013,38560,0
2020,38556,0
2008,38593,0
2042,38585,0
2064,38564,0
2032,38560,0
2044,38584,0
2064,38584,0
2072,38555,0
2076,38570,0
2072,38560,0
2080,38570,0
2104,38572,0
2064,38545,0
2052,38551,0
2044,38567,0
2080,38558,0
2020,38560,0
2072,38577,0
2040,38540,0
2020,38549,0
2000,38581,0
1984,38567,0
2016,38558,0
2064,38571,0
2056,38582,0
2114,38561,0
2122,38553,0
2168,38586,0
2152,38561,0
2150,38550,0
2136,38584,0
2116,38554,0
2104,38563,0
2104,38593,0
2080,38552,0
2016,38555,0
2002,38571,0
2000,38563,0
1994,38577,0
2000,38578,0
2008,38565,0
2024,38587,0
2038,38583,0
2064,38574,0
2080,38584,0
2092,38597,0
2114,38573,0
2112,38568,0
2168,38583,0
2132,38558,0
2128,38563,0
2084,38583,0
2088,38547,0
2052,38553,0
2034,38591,0
2042,38567,0
2048,38576,0
2052,38584,0
2016,38592,0
2026,38567,0
2033,38556,0
2024,38581,0
2046,38562,0
2064,38549,0
2116,38574,0
2128,38543,0
2160,38560,0
2100,38555,0
2114,38558,0
2112,38555,0
2105,38567,0
2088,38573,0
2074,38570,0
2047,38577,0
2064,38565,0
2026,38554,0
2024,38571,0
2020,38544,0
2015,38545,0
2000,38571,0
2064,38528,0
2024,38547,0
2072,38566,0
2076,38540,0
2100,38554,0
2104,38573,0
2120,38557,0
2112,38556,0
2168,38551,0
2156,38562,0
2152,38552,0
2144,38542,0
2138,38573,0
2085,38537,0
2062,38546,0
2039,38568,0
2021,38532,0
2040,38555,0
2037,38576,0
2000,38582,0
2028,38562,0
2037,38566,0
2057,38578,0
2082,38578,0
2088,38593,0
2106,38573,0
2092,38567,0
2072,38588,0
2104,38569,0
2120,38562,0
2129,38593,0
2112,38569,0
2112,38585,0
2080,38608,0
2092,38575,0
2044,38593,0
2068,38620,0
2040,38608,0
2056,38596,0
2042,38607,0
2072,38626,0
2080,38599,0
2088,38607,0
2108,38622,0
2112,38587,0
2132,38608,0
2113,38633,0
2104,38611,0
2102,38605,0
2156,38632,0
2120,38633,0
2092,38612,0
2066,38620,0
2056,38622,0
2040,38620,0
2036,38620,0
2040,38640,0
2044,38631,0
2052,38621,0
2056,38644,0
2097,38628,0
2096,38616,0
2132,38636,0
2148,38611,0
2192,38625,0
2176,38647,0
2232,38611,0
2224,38627,0
2208,38649,0
2180,38633,0
2172,38618,0
2148,38623,0
2170,38640,0
2150,38615,0
2132,38623,0
2120,38648,0
2144,38603,0
2096,38619,0
2102,38645,0
2104,38628,0
2126,38622,0
2168,38648,0
2210,38640,0
2156,38619,0
2178,38639,0
2184,38636,0
2186,38628,0
2192,38621,0
2284,38623,0
2192,38601,0
2185,38610,0
2168,38635,0
2146,38616,0
2130,38610,0
2123,38623,0
2124,38617,0
2152,38613,0
2088,38602,0
2104,38615,0
2088,38596,0
2104,38589,0
2106,38600,0
2116,38574,0
2144,38579,0
2178,38604,0
2200,38560,0
2202,38573,0
2213,38587,0
2216,38586,0
2197,38568,0
2187,38562,0
2168,38578,0
2178,38563,0
2176,38547,0
2156,38573,0
2112,38552,0
2138,38548,0
2136,38543,0
2104,38571,0
2138,38564,0
2116,38565,0
2130,38542,0
2144,38544,0
2152,38548,0
2156,38554,0
2160,38536,0
2177,38547,0
2188,38561,0
2192,38532,0
2172,38527,0
2184,38549,0
2148,38519,0
2144,38526,0
2130,38558,0
2096,38531,0
2100,38531,0
2144,38555,0
2128,38524,0
2128,38519,0
2130,38564,0
2144,38551,0
2136,38543,0
2144,38573,0
2153,38566,0
2160,38552,0
2216,38563,0
2187,38583,0
2148,38559,0
2144,38551,0
2132,38566,0
2132,38551,0
2128,38570,0
2136,38581,0
2112,38560,0
2108,38563,0
2096,38599,0
2096,38576,0
2100,38586,0
2108,38610,0
2100,38615,0
2128,38592,0
2116,38592,0
2152,38611,0
2156,38586,0
2180,38593,0
2164,38620,0
2176,38600,0
2174,38617,0
2226,38629,0
2230,38595,0
2184,38610,0
2197,38632,0
2146,38629,0
2124,38619,0
2129,38631,0
2092,38641,0
2084,38618,0
2121,38620,0
2088,38643,0
2058,38627,0
2060,38657,0
2064,38642,0
2080,38662,0
2106,38636,0
2084,38664,0
2084,38640,0
2088,38636,0
2116,38660,0
2090,38633,0
2082,38662,0
2084,38679,0
2046,38672,0
2072,38665,0
2042,38671,0
2036,38680,0
2034,38666,0
2068,38657,0
2074,38682,0
2100,38650,0
2144,38665,0
2224,38694,0
2276,38693,0
2386,38687,0
2436,38696,0
2522,38709,0
2596,38679,0
2696,38694,0
2816,38715,0
2938,38682,0
3088,38691,0
3200,38700,0
3268,38690,0
3336,38695,0
3436,38698,0
3544,38698,0
3652,38689,0
3776,38721,0
3892,38691,0
4026,38697,0
4056,38708,0
4056,38690,0
4056,38696,0
4083,38719,0
4084,38699,0
4095,38692,0
4080,38711,0
4094,38718,0
4068,38702,0
4064,38701,0
3952,38720,0
3880,38702,0
3776,38692,0
3760,38715,0
3640,38673,0
3504,38703,0
3394,38720,0
3280,38699,0
2656,38687,0
3092,38715,0
3024,38708,0
2984,38679,0
3000,38685,0
2900,38664,0
2908,38687,0
2864,38693,0
2850,38688,0
2836,38681,0
2808,38667,0
2784,38694,0
2728,38661,0
2716,38661,0
2633,38683,0
2592,38651,0
2580,38665,0
2528,38693,0
2528,38679,0
2452,38657,0
2436,38677,0
2380,38683,0
2392,38662,0
2360,38657,0
2360,38674,0
2388,38654,0
2384,38651,0
2381,38667,0
2360,38633,0
2388,38643,0
2340,38677,0
2290,38655,0
2268,38651,0
2244,38666,0
2217,38669,0
2216,38650,0
2189,38665,0
2144,38664,0
2116,38654,0
2108,38655,0
2100,38650,0
2088,38675,0
2120,38676,0
2100,38654,0
2112,38658,0
2108,38689,0
2130,38646,0
2124,38658,0
2131,38688,0
2104,38653,0
2112,38667,0
2080,38687,0
2084,38664,0
2033,38670,0
2028,38689,0
1996,38693,0
1984,38675,0
1984,38670,0
1992,38691,0
1998,38659,0
2000,38680,0
1984,38699,0
1992,38674,0
1970,38680,0
1985,38701,0
2004,38705,0
2041,38689,0
2032,38684,0
2034,38705,0
2002,38683,0
1988,38680,0
2010,38712,0
1968,38700,0
1952,38684,0
1942,38693,0
1952,38693,0
1912,38717,0
1913,38690,0
1914,38694,0
1920,38713,0
1911,38684,0
1930,38693,0
1944,38730,0
1948,38701,0
1968,38709,0
1952,38714,0
1988,38737,0
1964,38712,0
1960,38720,0
1960,38742,0
1984,38719,0
1961,38726,0
1994,38736,0
1940,38716,0
1937,38713,0
1910,38738,0
1882,38714,0
1881,38718,0
1876,38748,0
1932,38728,0
1913,38727,0
1904,38739,0
1898,38737,0
1928,38750,0
1968,38743,0
1976,38736,0
1965,38757,0
2004,38738,0
1980,38746,0
1984,38771,0
1980,38744,0
1960,38751,0
1995,38765,0
