ECG,IR,PCG
1988,39433,0
1946,39416,0
1936,39409,0
1924,39433,0
1928,39412,0
1930,39402,0
1936,39433,0
1952,39422,0
1952,39402,0
1960,39416,0
1948,39398,0
1962,39420,0
1962,39412,0
1970,39433,0
1960,39429,0
1960,39395,0
1960,39415,0
1962,39422,0
1976,39392,0
1980,39397,0
1984,39419,0
1984,39405,0
1992,39398,0
2000,39410,0
2008,39402,0
2020,39405,0
2033,39430,0
2046,39406,0
2052,39405,0
2064,39404,0
2064,39414,0
2064,39397,0
2084,39400,0
2090,39411,0
2088,39392,0
2096,39400,0
2105,39415,0
2124,39390,0
2132,39392,0
2144,39411,0
2160,39404,0
2188,39378,0
2208,39418,0
2216,39406,0
2216,39388,0
2224,39412,0
2228,39402,0
2232,39385,0
2240,39422,0
2228,39395,0
2232,39401,0
2212,39409,0
2200,39385,0
2208,39393,0
2200,39415,0
2184,39387,0
2184,39385,0
2168,39398,0
2164,39401,0
2164,39393,0
2176,39404,0
2168,39391,0
2168,39390,0
2181,39413,0
2176,39398,0
2184,39391,0
2192,39397,0
2208,39396,0
2208,39401,0
2212,39373,0
2220,39410,0
2236,39378,0
2228,39375,0
2232,39422,0
2276,39418,0
2240,39392,0
2240,39391,0
2232,39405,0
2234,39412,0
2228,39388,0
2230,39406,0
2224,39388,0
2224,39385,0
2224,39390,0
2224,39402,0
2220,39385,0
2216,39372,0
2208,39410,0
2208,39386,0
2200,39368,0
2200,39402,0
2200,39390,0
2188,39363,0
2186,39404,0
2184,39375,0
2168,39367,0
2180,39415,0
2178,39389,0
2184,39356,0
2176,39404,0
2192,39370,0
2194,39388,0
2216,39405,0
2226,39380,0
2248,39372,0
2258,39420,0
2266,39394,0
2266,39386,0
2276,39409,0
2272,39394,0
2264,39386,0
2268,39395,0
2248,39394,0
2248,39406,0
2240,39374,0
2232,39402,0
2232,39411,0
2216,39402,0
2204,39392,0
2200,39404,0
2200,39411,0
2200,39382,0
2200,39403,0
2200,39401,0
2192,39400,0
2194,39412,0
2196,39422,0
2196,39390,0
2196,39386,0
2200,39422,0
2201,39388,0
2208,39371,0
2208,39412,0
2224,39388,0
2218,39397,0
2216,39419,0
2242,39392,0
2244,39370,0
2244,39406,0
2256,39400,0
2256,39396,0
2260,39390,0
2268,39390,0
2272,39397,0
2273,39386,0
2268,39424,0
2264,39396,0
2266,39376,0
2260,39433,0
2256,39401,0
2248,39380,0
2242,39413,0
2226,39386,0
2224,39412,0
2216,39425,0
2212,39393,0
2196,39391,0
2192,39413,0
2184,39406,0
2194,39398,0
2192,39411,0
2200,39399,0
2208,39403,0
2216,39422,0
2228,39395,0
2248,39399,0
2252,39415,0
2264,39415,0
2268,39405,0
2268,39415,0
2282,39406,0
2284,39397,0
2272,39421,0
2264,39414,0
2256,39394,0
2256,39408,0
2250,39417,0
2240,39435,0
2244,39400,0
2244,39386,0
2240,39417,0
2236,39420,0
2240,39402,0
2232,39432,0
2240,39396,0
2244,39389,0
2240,39434,0
2240,39402,0
2240,39384,0
2236,39428,0
2244,39393,0
2242,39399,0
2228,39428,0
2232,39392,0
2228,39372,0
2224,39422,0
2240,39412,0
2256,39383,0
2242,39424,0
2260,39400,0
2272,39383,0
2266,39418,0
2280,39394,0
2280,39415,0
2274,39376,0
2284,39414,0
2288,39391,0
2272,39393,0
2280,39404,0
2264,39416,0
2260,39404,0
2250,39395,0
2256,39411,0
2240,39381,0
2240,39414,0
2236,39407,0
2224,39393,0
2228,39399,0
2224,39397,0
2216,39398,0
2216,39399,0
2212,39395,0
2224,39383,0
2224,39394,0
2225,39406,0
2240,39370,0
2240,39383,0
2248,39391,0
2256,39385,0
2258,39391,0
2268,39401,0
2277,39371,0
2280,39366,0
2272,39404,0
2272,39393,0
2272,39345,0
2280,39367,0
2272,39351,0
2260,39379,0
2260,39353,0
2258,39337,0
2256,39367,0
2252,39355,0
2264,39336,0
2252,39370,0
2252,39348,0
2256,39320,0
2248,39380,0
2300,39352,0
2240,39339,0
2236,39355,0
2241,39329,0
2228,39330,0
2220,39352,0
2220,39336,0
2224,39322,0
2224,39359,0
2224,39342,0
2220,39315,0
2228,39348,0
2240,39319,0
2244,39319,0
2264,39354,0
2280,39330,0
2288,39310,0
2302,39344,0
2298,39341,0
2308,39320,0
2308,39330,0
2312,39327,0
2298,39296,0
2298,39342,0
2304,39312,0
2288,39296,0
2268,39335,0
2256,39317,0
2252,39304,0
2264,39342,0
2268,39310,0
2248,39286,0
2248,39346,0
2248,39317,0
2248,39282,0
2248,39332,0
2258,39297,0
2256,39305,0
2256,39329,0
2252,39297,0
2252,39284,0
2248,39331,0
2241,39312,0
2252,39296,0
2240,39302,0
2240,39292,0
2232,39284,0
2242,39327,0
2240,39296,0
2240,39275,0
2240,39279,0
2240,39296,0
2232,39317,0
2228,39292,0
2220,39292,0
2236,39277,0
2218,39325,0
2216,39288,0
2212,39270,0
2208,39316,0
2208,39286,0
2196,39287,0
2188,39316,0
2188,39294,0
2184,39265,0
2188,39330,0
2188,39290,0
2168,39266,0
2164,39306,0
2164,39280,0
2168,39278,0
2177,39312,0
2192,39283,0
2184,39275,0
2202,39314,0
2202,39291,0
2224,39285,0
2226,39305,0
2236,39280,0
2250,39288,0
2252,39316,0
2256,39303,0
2260,39294,0
2256,39261,0
2240,39318,0
2242,39304,0
2320,39291,0
2216,39282,0
2216,39310,0
2212,39314,0
2208,39291,0
2204,39321,0
2200,39301,0
2196,39300,0
2196,39311,0
2208,39307,0
2196,39301,0
2196,39294,0
2192,39319,0
2200,39300,0
2192,39276,0
2192,39312,0
2184,39285,0
2196,39297,0
2192,39318,0
2184,39296,0
2196,39276,0
2200,39313,0
2216,39297,0
2220,39272,0
2244,39312,0
2248,39287,0
2256,39293,0
2264,39303,0
2280,39293,0
2276,39314,0
2288,39285,0
2284,39311,0
2276,39289,0
2264,39321,0
2252,39294,0
2248,39280,0
2244,39323,0
2228,39292,0
2216,39290,0
2216,39314,0
2202,39296,0
2200,39290,0
2196,39316,0
2192,39294,0
2192,39291,0
2192,39321,0
2196,39299,0
2200,39297,0
2210,39316,0
2202,39291,0
2210,39299,0
2212,39326,0
2216,39297,0
2232,39298,0
2226,39319,0
2220,39304,0
2236,39296,0
2234,39318,0
2240,39284,0
2232,39300,0
2228,39314,0
2228,39310,0
2228,39306,0
2224,39289,0
2232,39311,0
2224,39312,0
2232,39324,0
2228,39291,0
2236,39294,0
2225,39332,0
2236,39292,0
2229,39307,0
2224,39312,0
2224,39304,0
2224,39308,0
2216,39324,0
2216,39295,0
2208,39293,0
2208,39323,0
2192,39298,0
2192,39308,0
2192,39321,0
2192,39288,0
2196,39307,0
2201,39323,0
2204,39292,0
2224,39298,0
2228,39312,0
2248,39311,0
2264,39303,0
2260,39304,0
2272,39303,0
2276,39286,0
2280,39303,0
2272,39302,0
2268,39316,0
2264,39315,0
2248,39311,0
2240,39309,0
2232,39319,0
2224,39298,0
2208,39296,0
2200,39336,0
2202,39297,0
2196,39297,0
2192,39327,0
2196,39300,0
2200,39303,0
2200,39331,0
2200,39300,0
2208,39288,0
2208,39337,0
2202,39306,0
2208,39318,0
2216,39329,0
2224,39303,0
2216,39304,0
2232,39343,0
2228,39308,0
2224,39291,0
2236,39334,0
2242,39324,0
2244,39298,0
2252,39321,0
2252,39309,0
2264,39335,0
2267,39305,0
2260,39315,0
2260,39331,0
2260,39310,0
2264,39317,0
2260,39343,0
2248,39329,0
2248,39312,0
2240,39332,0
2230,39341,0
2218,39318,0
2212,39343,0
2204,39317,0
2192,39318,0
2196,39347,0
2176,39329,0
2176,39322,0
2180,39345,0
2176,39330,0
2176,39341,0
2180,39360,0
2185,39315,0
2210,39331,0
2208,39359,0
2224,39342,0
2224,39330,0
2248,39348,0
2248,39323,0
2256,39343,0
2256,39372,0
2264,39347,0
2264,39318,0
2256,39340,0
2250,39315,0
2240,39360,0
2240,39338,0
2228,39323,0
2236,39365,0
2218,39344,0
2220,39342,0
2240,39358,0
2212,39334,0
2216,39354,0
2216,39367,0
2212,39348,0
2212,39344,0
2208,39369,0
2212,39360,0
2264,39352,0
2208,39372,0
2194,39357,0
2208,39351,0
2208,39381,0
2200,39356,0
2208,39359,0
2212,39377,0
2208,39373,0
2216,39362,0
2232,39381,0
2248,39360,0
2240,39348,0
2256,39365,0
2258,39357,0
2268,39371,0
2280,39380,0
2272,39363,0
2272,39369,0
2264,39376,0
2266,39355,0
2244,39362,0
2256,39389,0
2236,39378,0
2232,39359,0
2214,39392,0
2264,39367,0
2208,39373,0
2208,39388,0
2200,39378,0
2208,39368,0
2202,39389,0
2202,39401,0
2208,39362,0
2202,39372,0
2210,39384,0
2212,39375,0
2210,39383,0
2218,39393,0
2224,39374,0
2228,39377,0
2224,39410,0
2232,39372,0
2232,39368,0
2232,39397,0
2224,39389,0
2228,39380,0
2224,39389,0
2231,39366,0
2224,39345,0
2232,39406,0
2234,39399,0
2234,39373,0
2232,39400,0
2244,39373,0
2248,39385,0
2244,39412,0
2256,39379,0
2252,39374,0
2248,39404,0
2242,39392,0
2232,39395,0
2224,39401,0
2224,39391,0
2216,39377,0
2216,39420,0
2208,39401,0
2194,39392,0
2208,39418,0
2204,39382,0
2208,39405,0
2216,39412,0
2228,39396,0
2236,39389,0
2258,39424,0
2258,39411,0
2257,39404,0
2264,39405,0
2260,39398,0
2268,39419,0
2252,39436,0
2236,39407,0
2232,39394,0
2236,39425,0
2216,39418,0
2208,39391,0
2200,39433,0
2272,39409,0
2200,39406,0
2192,39444,0
2202,39418,0
2200,39410,0
2204,39430,0
2204,39422,0
2208,39431,0
2212,39446,0
2220,39412,0
2212,39428,0
2216,39463,0
2218,39423,0
2224,39429,0
2224,39449,0
2220,39431,0
2224,39439,0
2224,39444,0
2224,39454,0
2236,39429,0
2240,39438,0
2248,39478,0
2252,39448,0
2252,39442,0
2252,39425,0
2264,39473,0
2256,39438,0
2272,39428,0
2264,39465,0
2264,39444,0
2266,39435,0
2252,39471,0
2244,39445,0
2236,39434,0
2232,39478,0
2224,39458,0
2216,39433,0
2210,39484,0
2200,39440,0
2192,39449,0
2196,39475,0
2196,39448,0
2200,39435,0
2208,39469,0
2208,39463,0
2218,39447,0
2224,39473,0
2244,39450,0
2252,39451,0
2260,39487,0
2268,39460,0
2276,39441,0
2282,39477,0
2276,39491,0
2296,39473,0
2272,39474,0
2261,39478,0
2256,39487,0
2252,39498,0
2240,39484,0
2228,39465,0
2234,39495,0
2232,39471,0
2234,39480,0
2240,39508,0
2232,39470,0
2232,39464,0
2240,39507,0
2244,39487,0
2240,39465,0
2232,39513,0
2232,39468,0
2232,39470,0
2228,39515,0
2216,39492,0
2216,39466,0
2208,39498,0
2204,39500,0
2208,39475,0
2212,39499,0
2216,39471,0
2224,39465,0
2228,39528,0
2240,39486,0
2240,39474,0
2244,39491,0
2248,39510,0
2252,39482,0
2248,39487,0
2256,39516,0
2248,39480,0
2242,39525,0
2240,39515,0
2224,39499,0
2208,39526,0
2216,39498,0
2194,39509,0
2192,39524,0
2184,39492,0
2184,39506,0
2180,39533,0
2184,39524,0
2204,39516,0
2192,39526,0
2196,39517,0
2208,39512,0
2216,39535,0
2220,39510,0
2232,39515,0
2232,39536,0
2240,39527,0
2248,39525,0
2248,39536,0
2256,39530,0
2258,39523,0
2256,39540,0
2256,39541,0
2252,39514,0
2244,39525,0
2240,39553,0
2233,39522,0
2232,39516,0
2224,39524,0
2232,39518,0
2224,39544,0
2224,39528,0
2228,39512,0
2234,39553,0
2226,39530,0
2224,39517,0
2226,39562,0
2233,39544,0
2224,39508,0
2232,39559,0
2217,39542,0
2216,39518,0
2208,39556,0
2208,39526,0
2212,39527,0
2208,39562,0
2208,39526,0
2216,39519,0
2224,39554,0
2229,39548,0
2240,39551,0
2240,39561,0
2252,39539,0
2258,39540,0
2260,39571,0
2260,39544,0
2266,39540,0
2256,39540,0
2256,39562,0
2256,39574,0
2244,39565,0
2225,39540,0
2220,39517,0
2220,39576,0
2216,39553,0
2216,39524,0
2208,39559,0
2208,39543,0
2216,39537,0
2208,39573,0
2220,39542,0
2216,39546,0
2224,39576,0
2216,39549,0
2220,39545,0
2224,39572,0
2220,39546,0
2224,39536,0
2228,39579,0
2212,39546,0
2220,39535,0
2218,39566,0
2216,39558,0
2224,39553,0
2232,39581,0
2232,39559,0
2240,39549,0
2240,39582,0
2240,39590,0
2248,39559,0
2250,39561,0
2248,39563,0
2256,39594,0
2256,39559,0
2240,39565,0
2236,39571,0
2232,39574,0
2232,39574,0
2236,39587,0
2220,39560,0
2216,39562,0
2208,39599,0
2202,39574,0
2196,39570,0
2196,39581,0
2148,39594,0
2188,39580,0
2200,39583,0
2200,39600,0
2200,39571,0
2202,39565,0
2212,39610,0
2224,39570,0
2240,39559,0
