RED,IR
26157,30339
26157,30322
26157,30318
26150,30315
26144,30288
26139,30274
26128,30256
26126,30244
26123,30236
26110,30234
26118,30233
26116,30235
26121,30238
26118,30236
26125,30244
26126,30251
26122,30255
26130,30258
26126,30259
26128,30258
26133,30258
26125,30261
26128,30262
26125,30253
26124,30254
26123,30253
26121,30257
26126,30252
26124,30261
26130,30268
26127,30269
26123,30266
26127,30267
26128,30265
26124,30261
26127,30263
26125,30264
26120,30263
26117,30264
26121,30255
26123,30260
26114,30261
26119,30255
26117,30264
26120,30272
26118,30263
26121,30268
26117,30266
26128,30267
26116,30266
26116,30271
26121,30269
26122,30272
26122,30267
26122,30265
26122,30276
26119,30274
26120,30271
26118,30277
26116,30277
26121,30285
26125,30276
26125,30278
26122,30283
26117,30280
26116,30284
26120,30289
26123,30282
26118,30286
26121,30286
26125,30287
26116,30288
26122,30287
26123,30295
26118,30294
26122,30288
26129,30294
26119,30287
26120,30293
26118,30294
26119,30290
26120,30295
26121,30302
26122,30295
26127,30299
26124,30301
26121,30298
26121,30301
26123,30305
26114,30310
26125,30306
26122,30308
26124,30313
26122,30306
26128,30306
26111,30296
26112,30274
26102,30263
26089,30249
26091,30227
26073,30215
26081,30210
26075,30204
26079,30196
26077,30200
26077,30203
26082,30201
26080,30216
26082,30215
26080,30218
26083,30222
26085,30225
26075,30225
26085,30216
26084,30222
26078,30224
26084,30219
26073,30222
26084,30215
26079,30219
26078,30220
26085,30234
26083,30227
26081,30230
26084,30228
26082,30234
26078,30233
26087,30232
26080,30222
26076,30229
26075,30226
26080,30217
26072,30221
26076,30222
26080,30226
26074,30219
26081,30219
26073,30226
26079,30216
26083,30223
26080,30222
26087,30228
26079,30234
26079,30225
26080,30226
26074,30227
26078,30233
26074,30235
26077,30232
26080,30236
26077,30233
26079,30231
26080,30239
26076,30229
26080,30233
26077,30235
26081,30236
26079,30233
26081,30242
26078,30236
26083,30242
26075,30237
26084,30243
26074,30240
26077,30243
26078,30253
26077,30245
26081,30250
26079,30244
26080,30249
26079,30245
26085,30252
26081,30241
26082,30257
26083,30251
26081,30258
26086,30252
26081,30252
26085,30259
26081,30264
26085,30258
26085,30266
26085,30269
26083,30268
26087,30272
26085,30267
26090,30271
26085,30262
26081,30249
26076,30235
26065,30218
26058,30193
26056,30185
26044,30177
26047,30166
26039,30159
26048,30155
26044,30161
26049,30164
26054,30169
26049,30170
26054,30178
26055,30181
26058,30184
26054,30186
26060,30186
26056,30176
26057,30187
26053,30177
26056,30186
26050,30176
26054,30181
26055,30180
26052,30182
26054,30182
26056,30190
26056,30186
26058,30189
26053,30188
26056,30194
26057,30180
26056,30186
26050,30188
26061,30181
26049,30186
26054,30180
26049,30184
26054,30180
26049,30182
26052,30180
26052,30185
26052,30177
